보돌미역 여의도KTB점,백반,02-780-1391,서울특별시 영등포구 여의대로 66 KTB빌딩 1층,37.5247289,126.9236889,http://bodolfood.com
콘타이 IFC몰점,태국음식,02-6137-5554,서울특별시 영등포구 국제금융로 10 IFC몰 L3층,37.5250447,126.9255865,http://www.instagram.com/konthai_restaurant
사리원 여의도IFC몰점,육류,02-6137-5101,서울특별시 영등포구 국제금융로 10 L3층,37.5249825,126.9252763,http://www.sariwon.co.kr/
매드포갈릭 여의도점,이탈리아음식,02-783-5296,서울특별시 영등포구 국제금융로2길 28 KB금융타워 지하 1층,37.5239512,126.92451,http://www.madforgarlic.com/
푸드엠파이어 IFC몰점,푸드코트,02-6137-5374,서울특별시 영등포구 국제금융로 10 IFC몰 지하3층,37.525263,126.9258196,http://www.ourhomehospitality.com/brand/brandIntro.do?brandSeq=2
알로하포케 IFC몰점,퓨전음식,02-6137-5146,서울특별시 영등포구 국제금융로 10 L1층,37.5249361,126.9263035,http://instagram.com/alohapokeseoul
온더보더 여의도IFC점,멕시코요리,02-6137-5682,서울특별시 영등포구 국제금융로 10 IFC몰 L3층,37.5254716,126.9254259,http://ontheborder.co.kr
OK Burger 여의도점,양식,02-761-6420,서울특별시 영등포구 국제금융로2길 32,37.523942,126.9239319,
콘래드서울 37그릴앤바,양식,02-6137-7110,서울특별시 영등포구 국제금융로 10 서울특별시 국제금융 센터,37.5255747,126.9261959,http://www.conradseoul.co.kr/food/#grill37
콘타이수끼,태국음식,070-8801-6346,서울특별시 영등포구 국제금융로2길 24 삼성생명빌딩 지하1층,37.5243159,126.9248449,http://www.instagram.com/konthai_restaurant
타코벨 여의도메리츠점,멕시코요리,02-3775-3330,서울특별시 영등포구 국제금융로2길 11,37.5241517,126.9264351,http://www.facebook.co.kr/koreatacobell
더플레이스 여의도IFC점,이탈리아음식,02-6137-5570,서울특별시 영등포구 국제금융로 10,37.5249799,126.9252997,https://www.facebook.com/italianTHEPLACE/?ref=bookmarks
더 스테이크 하우스 (여의도 IFC점),양식,02-6137-5070,서울특별시 영등포구 국제금융로 10,37.5249799,126.9252997,
야마야,일식,02-3775-0032,서울특별시 영등포구 여의대로 66 KTB투자증권 별관 2층,37.5243168,126.9239585,https://blog.naver.com/motsunabe_yamaya
후와후와 여의도점,일식,02-785-8585,서울특별시 영등포구 국제금융로2길 24 삼성생명여의도빌딩 2층,37.524271,126.9248256,http://www.instagram.com/huwahuwa_korea
동해대구탕,해물,02-780-8605,서울특별시 영등포구 여의나루로 57,37.5230801,126.9256226,
오미식당 IFC몰점,일식,02-6137-5959,서울특별시 영등포구 국제금융로 10 L3층,37.5254736,126.9258597,
강가 여의도점,인도음식,02-782-3610,서울특별시 영등포구 국제금융로2길 7 한주빌딩 2층,37.524697,126.926956,http://www.ganga.co.kr/
제일제면소 여의도IFC몰점,국수,02-6137-5280,서울특별시 영등포구 국제금융로 10 IFC몰 L3층,37.5254852,126.9252173,http://www.cheiljemyunso.co.kr/
아그라 여의도,인도음식,02-761-8079,서울특별시 영등포구 국제금융로2길 24 삼성생명 여의도빌딩 2층 agra,37.5243159,126.9248449,
피그인더가든 여의도점,샐러드,02-761-4272,서울특별시 영등포구 여의대로 56 한화손해보험빌딩 1층,37.5240615,126.9227106,http://dining.spc.co.kr/m/piginthegarden.do
크레이지후라이 여의도점,떡볶이,02-785-5558,서울특별시 영등포구 국제금융로2길 24 삼성생명빌딩 2층,37.5243159,126.9248449,http://www.crazyfry.co.kr
홍수계찜닭 여의도IFC몰점,찜닭,02-6137-5319,서울특별시 영등포구 국제금융로 10 여의도IFC몰 L3층,37.5257857,126.9258338,
오늘은즉떡 본점,떡볶이,070-4234-9008,서울특별시 영등포구 여의나루로 71 동화빌딩 지하 1층,37.5237626,126.9268758,
독도참치 앤 전복,생선회,02-2070-1171,서울특별시 영등포구 여의나루로 77-1,37.5243168,126.9271006,
민소한우 본점,소고기구이,02-780-3365,서울특별시 영등포구 국제금융로2길 37 S트레뉴 지하 1층 민소 본점,37.5229862,126.92431,http://www.minsohanwoo.com
우담,소고기구이,02-783-3820,서울특별시 영등포구 여의나루로 77-1,37.52445,126.927125,
동우황태북어국,해물,02-6290-8888,서울특별시 영등포구 여의대로 56,37.5236169,126.9237664,
현선이네 프리미엄,분식,02-6137-5329,서울특별시 영등포구 국제금융로 10,37.5251775,126.9248767,
고씨네 양평이앤씨타워점,일식,02-3667-5533,서울특별시 영등포구 선유로 146 이앤씨 드림타워 1층 신야텐야 고씨네,37.5268481,126.891826,
치킨플러스 문래점,치킨,02-2628-9777,서울특별시 영등포구 문래로 164,37.5178048,126.9000853,
곳온니플레이스,카페,02-761-0724,서울특별시 영등포구 의사당대로 38 더샵아일랜드파크 103동 107호,37.5263714,126.9188005,
빽다방,카페,02-761-6916,"서울특별시 영등포구 63로 45,1층",37.5197108,126.9374847,
북촌손만두 롯데마트양평점,칼국수,1588-0397,서울특별시 영등포구 선유로 138,37.5260659,126.891572,
은행골 초밥& 참치 여의도점,초밥,02-784-4988,"서울특별시 영등포구 국제금융로8길 19, 1층",37.5207633,126.9291485,
샐러디 문래동점,샐러드,02-2633-5025,서울특별시 영등포구 문래로 84 문래힐스테이트 상가동 104호,37.5194375,126.891178,http://www.saladykorea.com/
동경화로 문래점,소고기구이,02-2671-7567,서울특별시 영등포구 당산로 34 1층 107호 108호,37.51766,126.8957623,http://pf.kakao.com/_xhXcFC
카페에이븐,카페,02-6256-0147,서울특별시 영등포구 문래로28길 25 에스타워 1층 카페에이븐,37.5163887,126.8999754,
죽변미주구리막회,한식,02-3439-0025,서울특별시 영등포구 경인로 775 지하1층,37.5143815,126.8991421,
당산떡볶이,떡볶이,02-2634-7891,서울특별시 영등포구 당산로 241 ,37.5352119,126.9025468,
계절식당&포차,포장마차,02-2633-8447,서울특별시 영등포구 영중로27길 4-20,37.525043,126.9050445,
셰프리푸드트럭 양평점,퓨전음식,,"서울특별시 영등포구 선유로 138 롯데마트 양평점, 1층",37.5260495,126.8916243,http://www.cheflee.kr/
비엣남,베트남음식,02-3775-1233,서울특별시 영등포구 의사당대로 38,37.5252753,126.9186053,http://instagram.com/vietnam_kitchen
